Length,Item #,Item Name,XML NAACCR ID,Format,Allowable Values,PARENT XML ELEMENT,Section,Note,Data Type
1,194,IHS Purchased/Referred Care Delivery Area,ihsPurchRefCareDeliveryArea,,"0, 1, 9",Tumor,Demographic,New,Digit
1,284,Urban Indian Health Organization (UIHO),urbanIndianHealthOrganization,,"0, 1, 9",Tumor,Demographic,New,Digit
2,285,UIHO City,uihoFacility,Numeric,00-52,Tumor,Demographic,New,Digit
1,344,Tobacco Use Smoking Status,tobaccoUseSmokingStatus,,"0-3, 9",Tumor,Demographic,New,Digit
8,530,EDP MDE Link Date,edpMdeLinkDate,"YYYYMMDD Fixed-length, left-justified, space filled.",Valid Dates,Tumor,Demographic,New,Date
1,531,EDP MDE Link,edpMdeLink,,"0, 1, Blank",Tumor,Demographic,New,Digit
2,3950,Macroscopic Evaluation of Mesorectum,macroscopicEvalOfTheMesorectum,,"00, 10, 20, 30, 40, 99, Blank",Tumor,Stage/Prognostic Factors,New,Digit
1,3955,Derived Rai Stage,derivedRaiStage,,"0-4, 8, 9",Tumor,Stage/Prognostic Factors,New,Digit
1,3956,p16,p16,,"0, 1, 8, 9, blank",Tumor,Stage/Prognostic Factors,New,Digit
1,3957,LN Status Pelvic,lnStatusPelvic,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,New,Digit
1,3958,LN Status Para-Aortic,lnStatusParaAortic,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,New,Digit
1,3959,LN Status Femoral-Inguinal,lnStatusFemoralInguinal,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,New,Digit
1,10,Record Type,recordType,,"I, C, A, U, M, L",NaaccrData,Record ID,,
8,20,Patient ID Number,patientIdNumber,"Right justified, zero filled",,Patient,Record ID,,
8,21,Patient System ID-Hosp,patientSystemIdHosp,"Right justified, zero filled",,Tumor,Record ID,,
1,30,Registry Type,registryType,,3-Jan,NaaccrData,Record ID,,
10,40,Registry ID,registryId,"Right justified, zero filled",10-digit number. Reference to EDITS table REGID.DBF in Appendix B,NaaccrData,Record ID,,
10,45,NPI--Registry ID,npiRegistryId,,"10-digit NPI code (9-digit integer plus 1 check digit), blank",NaaccrData,Record ID,,
