XML NAACCR ID,Item #,Item Name,Length,PARENT XML ELEMENT,Section,Format,Allowable Values,Note
nameMaiden,2390,Name--Maiden,40,Patient,Patient-Confidential,Truncate name if more than 40 characters long.,"Blanks, spaces, hyphens, apostrophes are allowed; do not use other punctuation",
placeOfDeath,1940,Place of Death,2,Patient,Follow-up/Recurrence/Death,"Right justified, zero filled",Reference SEER Manual,
birthplace,250,Birthplace,3,Patient,Demographic,"Right justified, zero filled",Reference to EDITS table BPLACE.DBF in Appendix B,
recordType,10,Record Type,1,NaaccrData,Record ID,,"I, C, A, U, M, L",
patientIdNumber,20,Patient ID Number,8,Patient,Record ID,"Right justified, zero filled",,
patientSystemIdHosp,21,Patient System ID-Hosp,8,Tumor,Record ID,"Right justified, zero filled",,
registryType,30,Registry Type,1,NaaccrData,Record ID,,1-3,
registryId,40,Registry ID,10,NaaccrData,Record ID,"Right justified, zero filled",10-digit number. Reference to EDITS table REGID.DBF in Appendix B,
npiRegistryId,45,NPI--Registry ID,10,NaaccrData,Record ID,,"10-digit NPI code (9-digit integer plus 1 check digit), blank",
naaccrRecordVersion,50,NAACCR Record Version,3,NaaccrData,Record ID,,"120, 121, 122, 130, 140, 150, 160, 180, 210, 220, 230",
tumorRecordNumber,60,Tumor Record Number,2,Tumor,Record ID,"Right justified, zero filled",01-99,
addrAtDxCity,70,Addr at DX--City,50,Tumor,Demographic,"Mixed case letters, special characters only as allowed by USPS, embedded spaces allowed, left justified, blank filled",City name or UNKNOWN,
addrAtDxState,80,Addr at DX--State,2,Tumor,Demographic,Upper case,"Refer to EDITS table STATE.DBF in Appendix B; CD, US, XX, YY, ZZ",
stateAtDxGeocode19708090,81,State at DX Geocode 1970/80/90,2,Tumor,Demographic,,"01-95, Blank",
stateAtDxGeocode2000,82,State at DX Geocode 2000,2,Tumor,Demographic,,"01-95, Blank",
stateAtDxGeocode2010,83,State at DX Geocode 2010,2,Tumor,Demographic,,"01-95, Blank",
stateAtDxGeocode2020,84,State at DX Geocode 2020,2,Tumor,Demographic,,"01-95, Blank",
countyAtDxAnalysis,89,County at DX Analysis,3,Tumor,Demographic,,"001-997, 998, 999",
countyAtDx,90,County at DX Reported,3,Tumor,Demographic,"Right justified, zero filled",001-999,
countyAtDxGeocode1990,94,County at DX Geocode 1970/80/90,3,Tumor,Demographic,,000-999,
countyAtDxGeocode2000,95,County at DX Geocode2000,3,Tumor,Demographic,,001-999,
countyAtDxGeocode2010,96,County at DX Geocode2010,3,Tumor,Demographic,,000-999,
countyAtDxGeocode2020,97,County at DX Geocode2020,3,Tumor,Demographic,,001-999,Revised
addrAtDxPostalCode,100,Addr at DX--Postal Code,9,Tumor,Demographic,"Numbers or upper case letters. No special characters or embedded spaces allowed. Left justified, blank filled","5-digit or 9-digit U.S. ZIP codes; 6-character Canadian postal codes; valid postal codes from other countries, 888888888, 999999999, 88888+4 blanks (U.S.), 99999+4 blanks (U.S.), 999999+3 blanks (Canada)",
