Data Item Number,Data Item Name,Length,Source of Standard,Record Type,Section Name,XML NAACCR ID,Parent XML Element,Year Implemented,Version Implemented,Year Retired,Version Retired,NPCR Collect,CoC Collect,SEER Collect,CCCR Collect,Description,Rationale,Clarification,General Notes,Instructions for Coding,Allowable Values,Format,Data Type,Code Notes,Record Layout Table Note,Required Status Table Note,Data Descriptor Table Note,Record Layout Note,Required Status Note,Data Descriptor Note,Data Dictionary Description Note,Data Dictionary Rationale Note,Data Dictionary Code Note
50,NAACCR Record Version,3,NAACCR,"A,C,I,M",Record ID,naaccrRecordVersion,NaaccrData,,,,,R,.,R,.,"This item applies only to record types I, C, A, and M. Code the NAACCR record version used to create the record. The correction record (U) has its own record version data item.",The NAACCR Layout version is necessary to communicate to the recipient of data in NAACCR form where the various items are found and how they are coded. It should be added to the record when the recorded is created.,,,**Codes**,"120, 121, 122, 130, 140, 150, 160, 180, 210, 220, 230, 240, 250",,digits,"Historically (before 2010), this was a 1-character field with the following codes in column 19:

*   1             1992-1994 Version 2 and Version 3
*   4             1995 Version 4.0
*   5             1996 and 1997 Version 5.0 or Version 5.1
*   6             1998 Version 6
*   7             1999 Version 7
*   8             2000 Version 8
*   9             2001 and 2002 Version 9 and 9.1
*   A             2003, 2004, and 2005 Version 10, 10.1, and 10.2
*   B             2006, 2007, and 2008 Version 11, 11.1, 11.2, and 11.3
*   Blank     September 1989 Version

_Note_: Code 4 was assigned to the 1995 Version to synchronize the document version and the layout version numbers. Layout document Versions 2 and 3 are coded as 1.",,,Revised,,,Revised,,,Revised
60,Tumor Record Number,2,NAACCR,"A,C,I,M",Record ID,tumorRecordNumber,Tumor,2011,12.2,,,R,.,S,R*,"A system-generated number that, together with Patient ID Number \[20\], can be used to uniquely identify a tumor over time. Tumor Record Number is assigned to each of a patient’s tumors sequentially in the order in which the tumor record is created by the central registry. A patient’s first tumor record is assigned Tumor Record Number 01. Tumor Record Number is assigned to each of a patient’s tumors sequentially in the order in which the tumor record is created by the central registry and may not match timing based on Diagnosis Date. 

For example, the first tumor created in the database is diagnosed 12/2022 and is assigned Tumor Record Number = 01; the registry later learns the patient had a separate tumor diagnosed 5/2020, this is the second tumor created in the database and assigned Tumor Record Number = 02.

If a tumor is deleted or replaced, the Tumor Record Number associated with the deleted case is not reused.

For example, Patient has three cancers, Tumor Record Numbers = 01, 02 and 03. Upon review, it is determined that the cancer assigned Tumor Record Number 02 is actually a recurrence of 01 and it is deleted.

Patient now has two cancers, Tumor Record Numbers = 01 and 03. If a new tumor is created for this patient, 02 will never be reused and Tumor Record Number will be assigned as 04.

Unlike Sequence Number, behavior code has no effect on how Tumor Record Number is assigned.","This is a unique number that identifies a specific tumor so data can be linked. ""Sequence Number"" cannot be used as a link because the number is changed if a report identifies an earlier tumor or if a tumor record is deleted.",,,,Jan-99,"Right justified, zero filled",numeric,,,,,,Revised; NPCR Revised 8/23/2023,,Revised,,
87,Geocoding Quality Code Detail,14,NAACCR,"A,C,I,M",Demographic,geocodingQualityCodeDetail,Tumor,2024,24,,,D*,,D,,"This variable is an extension of the **GEOCODING QUALITY CODE \[86\]** and is comprised of details about multiple elements related to the quality of a geocode. Each digit of this code represents an element of the input address along with a hexadecimal score indicating either a full match (M) or a number corresponding to a type of error in the element. There are a total of 14 elements that are given codes to describe a full match (M) or an error in the element.

The elements include: Input Type, Street Type, Street, ZIP, City, City Refs, Directionals, Qualifiers, Distance, Outliers, Census Block Groups, Census Tracts, Census Counties, Ref Match Count.

This measure is currently referred to as Penalty Code in the NAACCR geocoder documentation and has been in use since November 2017.",,,,,"A-G, 1-9","14 character combination of A-G,1-9",mixed,"**Application:**

These codes provide researchers and registry staff a detailed assessment of the address components geocoded and the quality of the geocode. The codes provide a way to assess input reference data agreement, geographic accuracy, and micro-scale fitness for use at the sub-county level.

This code is intended to be used by researchers or registry staff when manually reviewing geocoded cases in MI GeoCorrect Tool (for cases with an R or F code in the Geocoding Quality Measure).

This variable is not coded directly. The code is directly output by the NAACCR/AGGIE Geocoder or MI GeoCorrect Tool. 

<table style=""border-color:hsl(0, 0%, 0%);border-style:solid;""><tbody><tr><td style=""border:1.0pt solid windowtext;padding:0in 5.4pt;vertical-align:top;width:40.25pt;"">XXXXXXXXXXXXXX</td><td style=""border-bottom-style:solid;border-color:windowtext;border-left-style:none;border-right-style:solid;border-top-style:solid;border-width:1.0pt;padding:0in 5.4pt;vertical-align:top;width:355.25pt;""><strong>Interactive MMMMMMMMMMMMMM.&nbsp;</strong>Geocoding was completed and the address matched after manual review in MI GeoCorrect Tool.</td></tr><tr><td style=""border-bottom-style:solid;border-color:windowtext;border-left-style:solid;border-right-style:solid;border-top-style:none;border-width:1.0pt;padding:0in 5.4pt;vertical-align:top;width:40.25pt;"">14 digit Combination of M and/or F</td><td style=""border-bottom:1.0pt solid windowtext;border-left-style:none;border-right:1.0pt solid windowtext;border-top-style:none;padding:0in 5.4pt;vertical-align:top;width:355.25pt;"">Each of the 14 positions has ‘M’ when the match for that element is good. Other alphanumeric codes describe any issues with the match. Codes meanings are specific to each of the 14 geocoding elements. For instance, ‘1’ for Input Type is ‘street only’ match but ‘1’ for Street Type is “PO Box”. See website for full details:&nbsp;<a href=""https://geo.naaccr.org/Services/Geocode/About/TechnicalDetails.aspx"">https://geo.naaccr.org/Services/Geocode/About/TechnicalDetails.aspx</a>&nbsp;</td></tr></tbody></table>",,Revised,,,Revised,,,,
190,Spanish/Hispanic Origin,1,SEER/CoC,"A,C,I,M",Demographic,spanishHispanicOrigin,Patient,,,,,R,R,R,.,"Code identifying persons of Spanish or Hispanic origin. This code is used by hospital and central registries to show the “best guess” as to whether or not the person should be classified as Hispanic for purposes of calculating cancer rates. If the patient has multiple tumors, all records should have the same code.

All information resources should be used to determine the correct code, including:

*   Stated ethnicity in the medical record
*   Stated Hispanic origin on the death certificate
*   Birthplace
*   Information about life history and/or language spoken found during the abstracting process
*   Patient’s last name \[2230\] or maiden name \[2390\] found on a list of Hispanic names

Some registries code the information from the medical record, others code ethnicity based on Spanish names, and others use a combination of methods.

Persons of Spanish or Hispanic origin may be of any race, but these categories generally are not used for Native Americans, Filipinos, etc., who may have Spanish names. If a patient has an Hispanic name, but there is reason to believe they are not Hispanic (e.g., the patient is Filipino, or the patient is a woman known to be non-Hispanic who has a Hispanic married name), the code in this field should be 0 (non-Spanish, non-Hispanic). The code in item Computed Ethnicity \[200\], however, would reflect the Hispanic name.

Assign code 7 if Hispanic ethnicity is based strictly on a computer list or algorithm (unless contrary evidence is available) and also code in Computed Ethnicity \[200\].

See also Computed Ethnicity \[200\]. _Note:_ NAACCR recognizes that available definitions and abstracting instructions for Name--Last \[2230\] and Name--Maiden \[2390\] may be inadequate for describing names used in some cultures, including Hispanic cultures. Explicit instructions have not been provided for entering compound names, with or without hyphens or “De.” Order of names, use of maternal and paternal names, and use of hyphens can vary across cultures. It is likely that abstracting and coding practice for these items varies across registries. Limitations inherent in these definitions should be kept in mind when using the data.",See the rationales for the Race 1-5 \[160-164\] and Computed Ethnicity \[200\]. Ethnic origin has a significant association with cancer rates and outcomes. Hispanic populations have different patterns of occurrence of cancer from other populations that may be included in the “white” category of Race \[160\].,,,**Codes**,"0-8, 9",,digits,"_Note:_ Code 7 was adopted for use effective with 1994 diagnosis and modified December 1994. _Note:_ Code 8 was added in Standards Volume II Version 10.2, effective January 2005, however, abstractors may assign code 8 to tumors diagnosed prior to 2005.",,,,,,,,,
272,Census Ind Code CDC,4,Census/NPCR,"A,C,I,M",Demographic,censusIndCode2010,Tumor,2013,13,,,R*,.,.,.,"Code for the patient’s usual industry, using the [North American Industry Classification System](https://www.census.gov/naics) (NAICS), Standard [Occupational Classification System](https://www.bls.gov/soc) (SOC), and/or [Census Industry and Occupation Classification System](https://www.census.gov/topics/employment/industry-occupation/guidance/code-lists.html). Additional information on collecting and using this data are available from the [National Institute for Occupational Safety and Health](https://www.cdc.gov/niosh/topics/coding/code.html) (NIOSH). The automated coding system available from NIOSH, Industry and Occupation Computerized Coding System (NIOCCS), is the preferred resource. NIOCCS is a free auto-coder that codes large files of industry and occupation free-text descriptions to Census industry and occupation codes, NAICS codes, and SOC codes. This data item applies only to patients who are age 14 years or older at the time of diagnosis. Usual industry refers to the type of activity at the patient's place of work for most of his or her working life.","The usual (longest-held) occupation and industry of workers can reveal the national cancer burden by industry and occupation. Such information can also be used to help discover jobs that may have a high risk for cancer or other diseases and for which prevention efforts can be concentrated (or targeted). Coding the data allows public health officials and other researchers to assess patterns and trends in work-related diseases, injuries, and exposures.",,,Use the [NIOSH Industry and Occupation Computerized Coding System (NIOCCS)](https://csams.cdc.gov/nioccs/Default.aspx) to assign codes for paid and non-paid workers. NIOCCS is regularly updated as classification systems change.,"Valid 4 digit numbers, Blank",,numeric,"The Division of Safety Research at CDC’s National Institute for Occupational Safety and Health (NIOSH) has developed new web-based software for automated coding of industry and occupation to appropriate year Census (1990, 2000, or 2010) classifications. This system also includes the NIOSH non-paid worker codes. See the following website for the NIOSH Industry and Occupation Computerized Coding System (NIOCCS) to look up a single industry and occupation code, crosswalk a single record, or create an account to perform batch processing: \<https://www.cdc.gov/niosh/topics/coding/code.html\>.

For more information related to the U.S. Census Bureau codes, see the following websites:

*   Overview: \<https://www.census.gov/topics/employment/industry-occupation/guidance.html\>
*   Crosswalk: \<https://www.census.gov/topics/employment/industry-occupation/guidance/code-lists.html\>
*   Index: [https://www.census.gov/topics/employment/industry-occupation/guidance/indexes.html](https://www.census.gov/topics/employment/industry-occupation/guidance/indexes.html)",Revised,Revised,Revised,,,Revised Name,Revised,Revised,Revised
282,Census Occ Code CDC,4,Census/NPCR,"A,C,I,M",Demographic,censusOccCode2010,Tumor,2013,13,,,R*,.,.,.,"Code for the patient’s usual occupation, using the [North American Industry Classification System](https://www.census.gov/naics) (NAICS), [Standard Occupational Classification System](https://www.bls.gov/soc) (SOC), and/or [Census Industry and Occupation Classification System](https://www.census.gov/topics/employment/industry-occupation/guidance/code-lists.html). Additional information on collecting and using this data are available from [the National Institute for Occupational Safety and Health](https://www.cdc.gov/niosh/topics/coding/code.html) (NIOSH). The automated coding system available from NIOSH, Industry and Occupation Computerized Coding System (NIOCCS), is the preferred resource. NIOCCS is a free auto-coder that codes large files of industry and occupation free-text descriptions to Census industry and occupation codes, NAICS codes, and SOC codes. This data item applies only to patients who are age 14 years or older at the time of diagnosis. Usual occupation is defined as the type of job the patient was engaged in for most of his or her working life","The usual (longest-held) occupation and industry of workers can reveal the national cancer burden by industry and occupation. Such information can also be used to help discover jobs that may have a high risk for cancer or other diseases and for which prevention efforts can be concentrated (or targeted). Coding the data allows public health officials and other researchers to assess patterns and trends in work-related diseases, injuries, and exposures.",,,Use the [NIOSH Industry and Occupation Computerized Coding System (NIOCCS)](https://csams.cdc.gov/nioccs/Default.aspx) to assign codes for paid and non-paid workers. NIOCCS is regularly updated as classification systems change.,"Valid 4-digit numbers, Blank",,digits,"Note: The Division of Safety Research at CDC’s National Institute for Occupational Safety and Health (NIOSH) has developed new web-based software for automated coding of industry and occupation to appropriate year Census (1990, 2000, or 2010) classifications. This system also includes the NIOSH non-paid worker codes. The contact person for this software is Sue Nowlin, who can be contacted at [sxn1@cdc.gov](mailto:sxn1@cdc.gov) or (513) 841-4467.  
   
For more information related to the U.S. Census Bureau codes, see the following websites:

*   Overview: \<https://www.census.gov/topics/employment/industry-occupation/guidance.html\>
*   Crosswalk: \<https://www.census.gov/topics/employment/industry-occupation/guidance/code-lists.html\>. The 2002 Census codes are the same as the 2000 codes with a “0” added to the end of the number due to the change from a 3-digit to 4-digit field.
*   Index: \<https://www.census.gov/topics/employment/industry-occupation/guidance/indexes.html\>",Revised,Revised,Revised,,,Revised,Revised,Revised,Revised
344,Tobacco Use Smoking Status,1,NPCR,"A,C,I,M",Demographic,tobaccoUseSmokingStatus,Tumor,2022,22,,,R*,R,R*,.,"Tobacco Use Smoking Status indicates the patient’s past or current smoking use of tobacco (cigarette, cigar and/or pipe).","Reliable registry-based tobacco use data will help public health planners and clinicians target and assess tobacco control efforts. Tobacco use data at diagnosis may help health professionals better understand how tobacco use impacts cancer outcomes, prognosis, and effectiveness of treatment. Smoking status may be a useful covariate risk factor for cancer cluster investigations.",,,**Code**,"0-3, 9",,text,"*   Record cigarette, cigar, and/or pipe use only. Tobacco Use Smoking Status does not include marijuana, chewing tobacco, e-cigarettes, or vaping devices.
*   Tobacco smoking history can be obtained from sections such as the Nursing Interview Guide, Flow Chart, Vital Stats or Nursing Assessment section, or other available sources from the patient's hospital medical record or physician office record.
*   Use code 1 if there is evidence in the medical record that the patient quit smoking within 30 days prior to diagnosis. The 30 days prior information is intended to differentiate patients who may have quit recently due to symptoms that led to a cancer diagnosis. 
*   Use code 2 if medical record indicates patient smoked tobacco in the past, but does not smoke now. Patient must have quit 31 or more days prior to cancer diagnosis to be coded as ‘Former smoker.’
*   Use code 3 if it cannot be determined whether the patient currently smokes or formerly smoked. For example, the medical record only indicates “Yes” for smoking without further information.
*   Use code 9 (Unknown if ever smoked) rather than code 0 (Never smoker), if
    *   the medical record only indicates “No” for tobacco use;
    *   smoking status is not stated or provided; or
    *   the method (cigarette, pipe, cigar) used cannot be verified in the chart.
*   This data item can be left blank for cases diagnosed prior to 1/1/2022.",,Revised,,,CCCR from R to .,,,,
1633,Neoadjuvant Therapy-Clinical Response,1,SEER,"A,C,I,M",Treatment-1st Course,neoadjuvTherapyClinicalResponse,Tumor,2021,21,,,.,.,R,.,This data item records the clinical outcomes of neoadjuvant therapy prior to planned surgical resection.,"This data items provides information related to the quality of care and describes the clinical outcomes after neoadjuvant therapy. This data item provides prognostically relevant information by quantifying the extent of therapy-induced tumor regression. Therefore, this item can provide a better risk stratification for patients who received neoadjuvant therapy. In addition, this data item can contribute to assessments of cancer care quality.

This data item records the clinical outcomes of neoadjuvant therapy as determined by the managing physician (oncologic surgeon, radiation oncologist or medical oncologist).

For the purposes of this data item, neoadjuvant therapy is defined as systemic treatment (chemotherapy, endocrine / hormone therapy, targeted therapy, immunotherapy, or biological therapy) and/or radiation therapy given to shrink a tumor before surgical resection.",,,**Codes**,0-9,,text,,,,,,,,,,Revised Code 7
2117,Schema ID Version Current,5,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,schemaIdVersionCurrent,Tumor,2021,21,,,D,D,D,R*,"This item indicates the version of EOD component of the SEER Staging API used to assign the 2018 and later staging fields of Schema ID, Grades, EOD input fields, SS2018, and SSDIs. This data item is recorded the first time the Schema ID is determined and should be updated each time the related input fields are modified.","Over time, the definitions for Schema ID and the input codes and instructions for Grades, EOD, SS2018, and SSDI items may change. This item identifies the correct interpretation of information recorded.",,,**Codes**,1.0-99.99,,numeric,"Schema ID Version Current is a code with up to 2 digits, a decimal and then up to 2 more digits. (e.g., 1.5, 10.12). The first two digits represent the major version number related to diagnosis year; the second two digits represent minor version changes with the diagnosis years. Minimum allowable value would be “1.0”. Maximum allowable value would be “99.99”.  Blanks would not be allowed.

This data item will be generated by registry software. No coding instructions are required.",,,,,,,,,"Added Codes 3.1, 3.2"
2118,Schema ID Version Original,5,SEER,"A,C,I,M",Edit Overrides/Conversion History/System Admin,schemaIdVersionOriginal,Tumor,2021,21,,,D,D,D,R*,"This item indicates the version of EOD component of the SEER Staging API used to assign the 2018 and later staging fields of Schema ID, Grades, EOD input fields, SS2018, and SSDIs. This data item is recorded the first time the Schema ID is determined. This data item should not be updated each time the related input fields are modified.","Over time, the definitions for Schema ID and the input codes and instructions for Grades, EOD, SS2018, and SSDI items may change. This item identifies the original instructions used to code these items.",,,**Codes**,1.0-99.99,,numeric,"Schema ID Version Original is a code with up to 2 digits, a decimal and then up to 2 more digits. (e.g., 1.5, 10.12). The first two digits represent the major version number related to diagnosis year; the second two digits represent minor version changes with the diagnosis years. Minimum allowable value would be “1.0”. Maximum allowable value would be “99.99”.  Blanks would not be allowed.  
   
This data item will be generated by registry software. No coding instructions are required.",,,,,,,,,"Added codes 3.1, 3.2"
