Item Number,Item Name,Item Start column,Item Length,Record Types,NAACCR XML ID,NAACCR XML Parent Element
10,"Record Type",1,1,"A,M,C,I",recordType,NaaccrData
30,"Registry Type",2,1,"A,M,C,I",registryType,NaaccrData
37,"Reserved 00",3,14,"A,M,C,I",reserved00,Tumor
50,"NAACCR Record Version",17,3,"A,M,C,I",naaccrRecordVersion,NaaccrData
45,"NPI--Registry ID",20,10,"A,M,C,I",npiRegistryId,NaaccrData
40,"Registry ID",30,10,"A,M,C,I",registryId,NaaccrData
60,"Tumor Record Number",40,2,"A,M,C,I",tumorRecordNumber,Tumor
20,"Patient ID Number",42,8,"A,M,C,I",patientIdNumber,Patient
21,"Patient System ID-Hosp",50,8,"A,M,C,I",patientSystemIdHosp,Tumor
370,"Reserved 01",58,37,"A,M,C,I",reserved01,Tumor
70,"Addr at DX--City",95,50,"A,M,C,I",addrAtDxCity,Tumor
80,"Addr at DX--State",145,2,"A,M,C,I",addrAtDxState,Tumor
100,"Addr at DX--Postal Code",147,9,"A,M,C,I",addrAtDxPostalCode,Tumor
90,"County at DX",156,3,"A,M,C,I",countyAtDx,Tumor
110,"Census Tract 1970/80/90",159,6,"A,M,C,I",censusTract19708090,Tumor
368,"Census Block Grp 1970-90",165,1,"A,M,C,I",censusBlockGrp197090,Tumor
120,"Census Cod Sys 1970/80/90",166,1,"A,M,C,I",censusCodSys19708090,Tumor
364,"Census Tr Cert 1970/80/90",167,1,"A,M,C,I",censusTrCert19708090,Tumor
130,"Census Tract 2000",168,6,"A,M,C,I",censusTract2000,Tumor
362,"Census Block Group 2000",174,1,"A,M,C,I",censusBlockGroup2000,Tumor
365,"Census Tr Certainty 2000",175,1,"A,M,C,I",censusTrCertainty2000,Tumor
150,"Marital Status at DX",176,1,"A,M,C,I",maritalStatusAtDx,Tumor
160,"Race 1",177,2,"A,M,C,I",race1,Patient
161,"Race 2",179,2,"A,M,C,I",race2,Patient
162,"Race 3",181,2,"A,M,C,I",race3,Patient
163,"Race 4",183,2,"A,M,C,I",race4,Patient
164,"Race 5",185,2,"A,M,C,I",race5,Patient
170,"Race Coding Sys--Current",187,1,"A,M,C,I",raceCodingSysCurrent,Patient
180,"Race Coding Sys--Original",188,1,"A,M,C,I",raceCodingSysOriginal,Patient
190,"Spanish/Hispanic Origin",189,1,"A,M,C,I",spanishHispanicOrigin,Patient
200,"Computed Ethnicity",190,1,"A,M,C,I",computedEthnicity,Patient
210,"Computed Ethnicity Source",191,1,"A,M,C,I",computedEthnicitySource,Patient
220,"Sex",192,1,"A,M,C,I",sex,Patient
230,"Age at Diagnosis",193,3,"A,M,C,I",ageAtDiagnosis,Tumor
