NAACCR XML ID,NAACCR Number,Name,Start Column,Length,Record Types,Parent XML Element,Data Type
abstractedBy,570,"Abstracted By",756,3,"A,M,C,I",Tumor,text
accessionNumberHosp,550,"Accession Number--Hosp",745,9,"A,M,C,I",Tumor,digits
addrAtDxCity,70,"Addr at DX--City",74,50,"A,M,C,I",Tumor,text
addrAtDxCountry,102,"Addr at DX--Country",464,3,"A,M,C,I",Tumor,alpha
addrAtDxNoStreet,2330,"Addr at DX--No & Street",4348,60,"A,M,C",Tumor,text
addrAtDxPostalCode,100,"Addr at DX--Postal Code",126,9,"A,M,C,I",Tumor,text
addrAtDxState,80,"Addr at DX--State",124,2,"A,M,C,I",Tumor,alpha
addrAtDxSupplementl,2335,"Addr at DX--Supplementl",4408,60,"A,M,C",Tumor,text
addrCurrentCity,1810,"Addr Current--City",2803,50,"A,M,C,I",Patient,text
addrCurrentCountry,1832,"Addr Current--Country",467,3,"A,M,C,I",Patient,alpha
addrCurrentNoStreet,2350,"Addr Current--No & Street",4468,60,"A,M,C",Patient,text
addrCurrentPostalCode,1830,"Addr Current--Postal Code",2855,9,"A,M,C,I",Patient,text
addrCurrentState,1820,"Addr Current--State",2853,2,"A,M,C,I",Patient,alpha
addrCurrentSupplementl,2355,"Addr Current--Supplementl",4528,60,"A,M,C",Patient,text
adenoidCysticBasaloidPattern,3803,"Adenoid Cystic Basaloid Pattern",1839,5,"A,M,C,I",Tumor,text
adenopathy,3804,"Adenopathy",1910,1,"A,M,C,I",Tumor,digits
afpPostOrchiectomyLabValue,3805,"AFP Post-Orchiectomy Lab Value",1959,7,"A,M,C,I",Tumor,text
afpPostOrchiectomyRange,3806,"AFP Post-Orchiectomy Range",1966,1,"A,M,C,I",Tumor,digits
afpPreOrchiectomyLabValue,3807,"AFP Pre-Orchiectomy Lab Value",1951,7,"A,M,C,I",Tumor,text
afpPreOrchiectomyRange,3808,"AFP Pre-Orchiectomy Range",1958,1,"A,M,C,I",Tumor,digits
afpPretreatmentInterpretation,3809,"AFP Pretreatment Interpretation",1844,1,"A,M,C,I",Tumor,digits
afpPretreatmentLabValue,3810,"AFP Pretreatment Lab Value",1845,6,"A,M,C,I",Tumor,text
ageAtDiagnosis,230,"Age at Diagnosis",223,3,"A,M,C,I",Tumor,digits
ajccId,995,"AJCC ID",1722,4,"A,M,C,I",Tumor,text
ajccTnmClinM,1003,"AJCC TNM Clin M",1120,15,"A,M,C,I",Tumor,text
ajccTnmClinN,1002,"AJCC TNM Clin N",1101,15,"A,M,C,I",Tumor,text
ajccTnmClinNSuffix,1034,"AJCC TNM Clin N Suffix",1116,4,"A,M,C,I",Tumor,text
ajccTnmClinStageGroup,1004,"AJCC TNM Clin Stage Group",1135,15,"A,M,C,I",Tumor,text
ajccTnmClinT,1001,"AJCC TNM Clin T",1082,15,"A,M,C,I",Tumor,text
ajccTnmClinTSuffix,1031,"AJCC TNM Clin T Suffix",1097,4,"A,M,C,I",Tumor,text
ajccTnmPathM,1013,"AJCC TNM Path M",1188,15,"A,M,C,I",Tumor,text
ajccTnmPathN,1012,"AJCC TNM Path N",1169,15,"A,M,C,I",Tumor,text
ajccTnmPathNSuffix,1035,"AJCC TNM Path N Suffix",1184,4,"A,M,C,I",Tumor,text
ajccTnmPathStageGroup,1014,"AJCC TNM Path Stage Group",1203,15,"A,M,C,I",Tumor,text
ajccTnmPathT,1011,"AJCC TNM Path T",1150,15,"A,M,C,I",Tumor,text
ajccTnmPathTSuffix,1032,"AJCC TNM Path T Suffix",1165,4,"A,M,C,I",Tumor,text
ajccTnmPostTherapyM,1023,"AJCC TNM Post Therapy M",1256,15,"A,M,C,I",Tumor,text
ajccTnmPostTherapyN,1022,"AJCC TNM Post Therapy N",1237,15,"A,M,C,I",Tumor,text
ajccTnmPostTherapyNSuffix,1036,"AJCC TNM Post Therapy N Suffix",1252,4,"A,M,C,I",Tumor,text
ajccTnmPostTherapyStageGroup,1024,"AJCC TNM Post Therapy Stage Group",1271,15,"A,M,C,I",Tumor,text
ajccTnmPostTherapyT,1021,"AJCC TNM Post Therapy T",1218,15,"A,M,C,I",Tumor,text
ajccTnmPostTherapyTSuffix,1033,"AJCC TNM Post Therapy T Suffix",1233,4,"A,M,C,I",Tumor,text
ambiguousTerminologyDx,442,"Ambiguous Terminology DX",580,1,"A,M,C,I",Tumor,digits
anemia,3811,"Anemia",1911,1,"A,M,C,I",Tumor,digits
archiveFin,3100,"Archive FIN",735,10,"A,M,C,I",Tumor,digits
autopsy,1930,"Autopsy",2947,1,"A,M,C,I",Patient,digits
bSymptoms,3812,"B symptoms",1868,1,"A,M,C,I",Tumor,digits
behaviorCodeIcdO3,523,"Behavior Code ICD-O-3",568,1,"A,M,C,I",Tumor,digits
behaviorIcdO1,1972,"Behavior (73-91) ICD-O-1",2604,1,"A,M,C,I",Tumor,digits
behaviorIcdO2,430,"Behavior (92-00) ICD-O-2",563,1,"A,M,C,I",Tumor,digits
bilirubinPretxTotalLabValue,3813,"Bilirubin Pretreatment Total Lab Value",1851,5,"A,M,C,I",Tumor,text
bilirubinPretxUnitOfMeasure,3814,"Bilirubin Pretreatment Unit of Measure",1856,1,"A,M,C,I",Tumor,digits
birthplace,250,"Birthplace",236,3,"A,M,C,I",Patient,text
birthplaceCountry,254,"Birthplace--Country",472,3,"A,M,C,I",Patient,alpha
birthplaceState,252,"Birthplace--State",470,2,"A,M,C,I",Patient,alpha
boneInvasion,3815,"Bone Invasion",1950,1,"A,M,C,I",Tumor,digits
brainMolecularMarkers,3816,"Brain Molecular Markers",1994,2,"A,M,C,I",Tumor,digits
breslowTumorThickness,3817,"Breslow Tumor Thickness",1891,4,"A,M,C,I",Tumor,text
ca125PretreatmentInterpretation,3818,"CA-125 Pretreatment Interpretation",1919,1,"A,M,C,I",Tumor,digits
cancerStatus,1770,"Cancer Status",2787,1,"A,M,C,I",Tumor,digits
casefindingSource,501,"Casefinding Source",578,2,"A,M,C,I",Tumor,digits
causeOfDeath,1910,"Cause of Death",2940,4,"A,M,C,I",Patient,text
ceaPretreatmentInterpretation,3819,"CEA Pretreatment Interpretation",1789,1,"A,M,C,I",Tumor,digits
ceaPretreatmentLabValue,3820,"CEA Pretreatment Lab Value",1790,6,"A,M,C,I",Tumor,text
censusBlockGroup2000,362,"Census Block Group 2000",178,1,"A,M,C,I",Tumor,digits
censusBlockGroup2010,363,"Census Block Group 2010",191,1,"A,M,C,I",Tumor,digits
censusBlockGroup2020,361,"Census Block Group 2020",204,1,"A,M,C,I",Tumor,digits
censusBlockGrp197090,368,"Census Block Grp 1970/80/90",164,1,"A,M,C,I",Tumor,digits
censusCodSys19708090,120,"Census Cod Sys 1970/80/90",165,1,"A,M,C,I",Tumor,digits
censusIndCode19702000,280,"Census Ind Code 1970-2000",242,3,"A,M,C,I",Tumor,digits
censusIndCode2010,272,"Census Ind Code 2010 CDC",483,4,"A,M,C,I",Tumor,digits
censusOccCode19702000,270,"Census Occ Code 1970-2000",239,3,"A,M,C,I",Tumor,digits
censusOccCode2010,282,"Census Occ Code 2010 CDC",487,4,"A,M,C,I",Tumor,digits
censusOccIndSys7000,330,"Census Occ/Ind Sys 70-00",447,1,"A,M,C,I",Tumor,digits
censusTrCert19708090,364,"Census Tr Cert 1970/80/90",166,1,"A,M,C,I",Tumor,digits
censusTrCertainty2000,365,"Census Tr Certainty 2000",179,1,"A,M,C,I",Tumor,digits
censusTrCertainty2010,367,"Census Tr Certainty 2010",192,1,"A,M,C,I",Tumor,digits
censusTrPovertyIndictr,145,"Census Tr Poverty Indictr",491,1,"A,M,C,I",Tumor,digits
censusTract19708090,110,"Census Tract 1970/80/90",158,6,"A,M,C,I",Tumor,digits
censusTract2000,130,"Census Tract 2000",172,6,"A,M,C,I",Tumor,digits
censusTract2010,135,"Census Tract 2010",185,6,"A,M,C,I",Tumor,digits
censusTract2020,125,"Census Tract 2020",198,6,"A,M,C,I",Tumor,digits
censusTractCertainty2020,369,"Census Tract Certainty 2020",205,1,"A,M,C,I",Tumor,digits
chromosome19qLossHeterozygosity,3802,"Chromosome 19q: Loss of Heterozygosity (LOH)",1741,1,"A,M,C,I",Tumor,digits
chromosome1pLossHeterozygosity,3801,"Chromosome 1p: Loss of Heterozygosity (LOH)",1740,1,"A,M,C,I",Tumor,digits
chromosome3Status,3821,"Chromosome 3 Status",1874,1,"A,M,C,I",Tumor,digits
chromosome8qStatus,3822,"Chromosome 8q Status",1875,1,"A,M,C,I",Tumor,text
circumferentialResectionMargin,3823,"Circumferential Resection Margin (CRM)",1796,4,"A,M,C,I",Tumor,text
classOfCase,610,"Class of Case",790,2,"A,M,C,I",Tumor,digits
cocAccreditedFlag,2152,"CoC Accredited Flag",2624,1,"A,M,C,I",Tumor,digits
cocCodingSysCurrent,2140,"CoC Coding Sys--Current",2619,2,"A,M,C,I",Tumor,digits
cocCodingSysOriginal,2150,"CoC Coding Sys--Original",2621,2,"A,M,C,I",Tumor,digits
codingSystemForEod,870,"Coding System for EOD",1045,1,"A,M,C,I",Tumor,digits
comorbidComplication1,3110,"Comorbid/Complication 1",1527,5,"A,M,C,I",Tumor,mixed
comorbidComplication10,3164,"Comorbid/Complication 10",1572,5,"A,M,C,I",Tumor,mixed
comorbidComplication2,3120,"Comorbid/Complication 2",1532,5,"A,M,C,I",Tumor,mixed
comorbidComplication3,3130,"Comorbid/Complication 3",1537,5,"A,M,C,I",Tumor,mixed
comorbidComplication4,3140,"Comorbid/Complication 4",1542,5,"A,M,C,I",Tumor,mixed
comorbidComplication5,3150,"Comorbid/Complication 5",1547,5,"A,M,C,I",Tumor,mixed
comorbidComplication6,3160,"Comorbid/Complication 6",1552,5,"A,M,C,I",Tumor,mixed
comorbidComplication7,3161,"Comorbid/Complication 7",1557,5,"A,M,C,I",Tumor,mixed
comorbidComplication8,3162,"Comorbid/Complication 8",1562,5,"A,M,C,I",Tumor,mixed
comorbidComplication9,3163,"Comorbid/Complication 9",1567,5,"A,M,C,I",Tumor,mixed
computedEthnicity,200,"Computed Ethnicity",220,1,"A,M,C,I",Patient,digits
computedEthnicitySource,210,"Computed Ethnicity Source",221,1,"A,M,C,I",Patient,digits
countyAtDx,90,"County at DX Reported",135,3,"A,M,C,I",Tumor,digits
countyAtDxAnalysis,89,"County at DX Analysis",150,3,"A,M,C,I",Tumor,digits
countyAtDxGeocode1990,94,"County at DX Geocode 1970/80/90",155,3,"A,M,C,I",Tumor,digits
countyAtDxGeocode2000,95,"County at DX Geocode2000",169,3,"A,M,C,I",Tumor,digits
countyAtDxGeocode2010,96,"County at DX Geocode2010",182,3,"A,M,C,I",Tumor,digits
countyAtDxGeocode2020,97,"County at DX Geocode2020",195,3,"A,M,C,I",Tumor,digits
countyCurrent,1840,"County--Current",2864,3,"A,M,C,I",Patient,digits
crcChecksum,2081,"CRC CHECKSUM",2607,10,"A,M,C,I",Tumor,text
creatininePretreatmentLabValue,3824,"Creatinine Pretreatment Lab Value",1857,4,"A,M,C,I",Tumor,text
creatininePretxUnitOfMeasure,3825,"Creatinine Pretreatment Unit of Measure",1861,1,"A,M,C,I",Tumor,digits
csExtension,2810,"CS Extension",1301,3,"A,M,C,I",Tumor,digits
csLymphNodes,2830,"CS Lymph Nodes",1305,3,"A,M,C,I",Tumor,digits
csLymphNodesEval,2840,"CS Lymph Nodes Eval",1308,1,"A,M,C,I",Tumor,digits
csMetsAtDx,2850,"CS Mets at DX",1309,2,"A,M,C,I",Tumor,digits
csMetsAtDxBone,2851,"CS Mets at Dx-Bone",1312,1,"A,M,C,I",Tumor,digits
csMetsAtDxBrain,2852,"CS Mets at Dx-Brain",1313,1,"A,M,C,I",Tumor,digits
csMetsAtDxLiver,2853,"CS Mets at Dx-Liver",1314,1,"A,M,C,I",Tumor,digits
csMetsAtDxLung,2854,"CS Mets at Dx-Lung",1315,1,"A,M,C,I",Tumor,digits
csMetsEval,2860,"CS Mets Eval",1311,1,"A,M,C,I",Tumor,digits
csSiteSpecificFactor1,2880,"CS Site-Specific Factor 1",1316,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor10,2864,"CS Site-Specific Factor10",1343,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor11,2865,"CS Site-Specific Factor11",1346,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor12,2866,"CS Site-Specific Factor12",1349,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor13,2867,"CS Site-Specific Factor13",1352,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor14,2868,"CS Site-Specific Factor14",1355,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor15,2869,"CS Site-Specific Factor15",1358,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor16,2870,"CS Site-Specific Factor16",1361,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor17,2871,"CS Site-Specific Factor17",1364,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor18,2872,"CS Site-Specific Factor18",1367,3,"A,M,C,I",Tumor,digits
csSiteSpecificFactor19,2873,"CS Site-Specific Factor19",1370,3,"A,M,C,I",Tumor,digits
